ctr : 454  | I: ff86 | Q: 00db
ctr : 455  | I: 0064 | Q: ff1b
ctr : 456  | I: 0040 | Q: ff3e
ctr : 457  | I: 0056 | Q: ff18
ctr : 458  | I: 003f | Q: ff3b
ctr : 459  | I: 0012 | Q: ff35
ctr : 460  | I: 0019 | Q: ff3c
ctr : 461  | I: fffc | Q: ff45
ctr : 462  | I: 0000 | Q: ff2f
ctr : 463  | I: ffd3 | Q: ff35
ctr : 464  | I: ffe8 | Q: ff47
ctr : 465  | I: ffc5 | Q: ff37
ctr : 466  | I: ffc4 | Q: ff4c
ctr : 467  | I: ff8f | Q: ff2b
ctr : 468  | I: ffa8 | Q: ff58
ctr : 469  | I: ff8e | Q: ff72
ctr : 470  | I: 0053 | Q: 00d2
ctr : 471  | I: 0060 | Q: 00aa
ctr : 472  | I: ff6a | Q: ff6b
ctr : 473  | I: ff5b | Q: ff8b
ctr : 474  | I: ff4f | Q: ff7b
ctr : 475  | I: ff34 | Q: ff69
ctr : 476  | I: ff41 | Q: ffae
ctr : 477  | I: ff24 | Q: ff91
ctr : 478  | I: ff2c | Q: ffc0
ctr : 479  | I: ff1d | Q: ff8e
ctr : 480  | I: ff08 | Q: fffd
ctr : 481  | I: fee2 | Q: ffec
ctr : 482  | I: 00d3 | Q: 0000
ctr : 483  | I: 00ea | Q: ffd3
ctr : 484  | I: 0118 | Q: fff1
ctr : 485  | I: 00f3 | Q: ffc0
ctr : 486  | I: 00f3 | Q: ff96
ctr : 487  | I: 00e0 | Q: ff85
ctr : 488  | I: ff1b | Q: 00a5
ctr : 489  | I: 00b9 | Q: ff4d
ctr : 490  | I: 00a2 | Q: ff17
ctr : 491  | I: 00c7 | Q: ff15
ctr : 492  | I: 007f | Q: ff12
ctr : 493  | I: 007f | Q: fef0
ctr : 494  | I: ffa6 | Q: 011b
ctr : 495  | I: ffc6 | Q: 0132
ctr : 496  | I: ffe9 | Q: 014f
ctr : 497  | I: 0004 | Q: 012d
ctr : 498  | I: 001d | Q: 011f
ctr : 499  | I: 003c | Q: 0135
ctr : 500  | I: 0049 | Q: 011f
ctr : 501  | I: 0070 | Q: 011c
ctr : 502  | I: 00af | Q: 011b
ctr : 503  | I: 00c1 | Q: 010c
ctr : 504  | I: 00c2 | Q: 00ee
ctr : 505  | I: ff16 | Q: ff22
ctr : 506  | I: fee7 | Q: ff5a
ctr : 507  | I: 0012 | Q: 000f
ctr : 508  | I: fff5 | Q: ffe3
ctr : 509  | I: fff1 | Q: 0005
ctr : 510  | I: 0000 | Q: 001d
ctr : 511  | I: 0011 | Q: ffef
ctr : 512  | I: ffee | Q: 000f
ctr : 513  | I: ffeb | Q: fffc
ctr : 514  | I: 0003 | Q: 0006
ctr : 515  | I: fff6 | Q: fff3
ctr : 516  | I: 0016 | Q: ffed
ctr : 517  | I: ffda | Q: fff5
ctr : 518  | I: 00e6 | Q: ff1b
ctr : 519  | I: 00c4 | Q: ff14
ctr : 520  | I: 00ba | Q: fee1
